Price,Area,Location,No._of_Bedrooms,Resale,LandscapedGardens,IndoorGames,Intercom,SportsFacility,ClubHouse,24X7Security,PowerBackup,CarParking,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,Total_Amenities,Price_per_sqft,Amenity_Score,Bedroom_Density
4400000,1000,Dwarka Mor,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4400.0,0.07142857142857142,0.003
15000000,1200,Other,2,1,0,0,1,0,0,0,1,0,1,1,0,1,1,7,12500.0,0.5,0.0016666666666666668
6500000,700,Other,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9285.714285714286,0.0,0.004285714285714286
2900000,630,Burari,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4603.174603174603,0.0,0.0031746031746031746
2100000,540,Burari,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3888.8888888888887,0.0,0.003703703703703704
6200000,1200,Other,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5166.666666666667,0.0,0.0025
4011000,1000,Uttam Nagar,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4011.0,0.0,0.003
5300000,850,Other,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6235.294117647059,0.0,0.0035294117647058825
13500000,1500,Sector 19 Dwarka,3,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,9000.0,0.0,0.002
2400000,750,Other,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200.0,0.0,0.0026666666666666666
14500000,1650,Other,3,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,8787.878787878788,0.07142857142857142,0.0018181818181818182
4500000,810,Other,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5555.555555555556,0.07142857142857142,0.003703703703703704
16000000,1250,Other,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12800.0,0.0,0.0024
6400000,600,Other,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10666.666666666666,0.0,0.0016666666666666668
35000000,3800,Sector 12 Dwarka,5,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,9210.526315789473,0.14285714285714285,0.0013157894736842105
10000000,1000,Other,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10000.0,0.0,0.003
2300000,380,Other,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6052.631578947368,0.0,0.002631578947368421
6900000,600,Vasant Kunj,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,11500.0,0.0,0.0016666666666666668
17500000,2250,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7777.777777777777,0.0,0.0008888888888888889
16500000,1200,Other,3,1,0,0,0,0,1,1,1,1,0,0,0,0,1,5,13750.0,0.35714285714285715,0.0025
3000000,645,Jamia Nagar,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4651.162790697675,0.0,0.004651162790697674
13500000,1600,Sector 4 Dwarka,3,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,8437.5,0.0,0.001875
3800000,1000,Uttam Nagar,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3800.0,0.0,0.003
5000000,920,Uttam Nagar,3,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,5434.782608695652,0.0,0.003260869565217391
2800000,570,Dwarka Mor,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4912.2807017543855,0.0,0.0035087719298245615
7500000,1100,Other,2,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,6818.181818181818,0.0,0.0018181818181818182
26000000,1650,Other,4,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,15757.575757575758,0.0,0.0024242424242424242
3000000,750,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4000.0,0.0,0.0026666666666666666
3000000,800,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750.0,0.0,0.0025
5200000,1000,Dwarka Mor,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5200.0,0.0,0.003
18000000,1700,Vasant Kunj,3,1,1,0,0,1,0,0,1,1,1,0,0,1,1,2,10588.235294117647,0.14285714285714285,0.0017647058823529412
35000000,1800,Vasant Kunj,4,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,19444.444444444445,0.07142857142857142,0.0022222222222222222
4400000,810,Other,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5432.098765432099,0.0,0.0024691358024691358
15500000,1800,Other,3,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,8611.111111111111,0.0,0.0016666666666666668
27500000,1550,Other,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17741.935483870966,0.0,0.001935483870967742
8200000,500,Vasant Kunj,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,16400.0,0.07142857142857142,0.002
4799000,950,Uttam Nagar,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5051.578947368421,0.07142857142857142,0.003157894736842105
15000000,1250,Other,3,1,1,0,1,0,1,1,1,1,0,0,0,1,1,5,12000.0,0.35714285714285715,0.0024
14000000,1000,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000.0,0.0,0.002
6500000,1000,Dwarka Mor,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,6500.0,0.0,0.003
3200000,620,Dwarka Mor,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5161.290322580645,0.0,0.0032258064516129032
6600000,700,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9428.57142857143,0.0,0.002857142857142857
6800000,581,Vasant Kunj,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,5,11703.958691910499,0.35714285714285715,0.0017211703958691911
2650000,600,Vasant Kunj,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4416.666666666667,0.0,0.0016666666666666668
10400000,1000,Other,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,10400.0,0.07142857142857142,0.002
22500000,2150,Sector 10 Dwarka,3,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,10465.116279069767,0.07142857142857142,0.0013953488372093023
28500000,2350,Sector 11 Dwarka,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12127.659574468085,0.0,0.001702127659574468
14000000,1500,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9333.333333333334,0.0,0.0013333333333333333
5499000,900,Dwarka Mor,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6110.0,0.0,0.0033333333333333335
3399000,720,Dwarka Mor,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4720.833333333333,0.0,0.002777777777777778
2349000,450,Dwarka Mor,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,5220.0,0.0,0.0044444444444444444
6000000,990,Dwarka Mor,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6060.606060606061,0.0,0.0030303030303030303
3199000,675,Dwarka Mor,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4739.259259259259,0.0,0.0044444444444444444
4099000,765,Dwarka Mor,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,5358.169934640523,0.0,0.00392156862745098
5499000,900,Dwarka Mor,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6110.0,0.07142857142857142,0.0033333333333333335
3399000,720,Dwarka Mor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4720.833333333333,0.07142857142857142,0.002777777777777778
2349000,450,Dwarka Mor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5220.0,0.07142857142857142,0.0044444444444444444
5999000,990,Dwarka Mor,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6059.595959595959,0.07142857142857142,0.0030303030303030303
3199000,675,Dwarka Mor,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4739.259259259259,0.07142857142857142,0.0044444444444444444
4099000,765,Dwarka Mor,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5358.169934640523,0.07142857142857142,0.00392156862745098
5499000,900,Dwarka Mor,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6110.0,0.0,0.0033333333333333335
3399000,720,Dwarka Mor,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4720.833333333333,0.0,0.002777777777777778
2299000,450,Dwarka Mor,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5108.888888888889,0.0,0.0044444444444444444
6000000,990,Dwarka Mor,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6060.606060606061,0.0,0.0030303030303030303
3199000,675,Dwarka Mor,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4739.259259259259,0.0,0.0044444444444444444
4099000,765,Dwarka Mor,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5358.169934640523,0.0,0.00392156862745098
18900000,2150,Sector 11 Dwarka,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8790.697674418605,0.0,0.0018604651162790699
17400000,1950,Sector 4 Dwarka,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8923.076923076924,0.0,0.0015384615384615385
13400000,1650,Other,3,1,1,0,1,0,1,1,1,0,1,0,0,0,0,4,8121.212121212121,0.2857142857142857,0.0018181818181818182
16399999,1750,Sector 22 Dwarka,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9371.428,0.0,0.0017142857142857142
19200000,2250,Sector 4 Dwarka,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8533.333333333334,0.0,0.0017777777777777779
2300000,410,Uttam Nagar,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5609.756097560976,0.07142857142857142,0.004878048780487805
2600000,450,Uttam Nagar,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5777.777777777777,0.07142857142857142,0.0044444444444444444
5800000,750,Uttam Nagar,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,7733.333333333333,0.07142857142857142,0.004
5000000,700,Uttam Nagar,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,7142.857142857143,0.07142857142857142,0.004285714285714286
4500000,650,Uttam Nagar,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,6923.076923076923,0.07142857142857142,0.004615384615384616
17000000,1450,Other,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11724.137931034482,0.0,0.0020689655172413794
13500000,1400,Other,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9642.857142857143,0.0,0.002142857142857143
13000000,1150,Other,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,11304.347826086956,0.07142857142857142,0.0017391304347826088
18300000,1550,Other,3,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,11806.451612903225,0.07142857142857142,0.001935483870967742
18000000,1500,Other,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,12000.0,0.07142857142857142,0.0026666666666666666
17000000,1550,Other,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10967.741935483871,0.0,0.001935483870967742
19000000,1500,Other,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,12666.666666666666,0.07142857142857142,0.002
18000000,1450,Other,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12413.793103448275,0.0,0.0020689655172413794
14000000,1200,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11666.666666666666,0.0,0.0016666666666666668
4500000,500,Other,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,9000.0,0.0,0.002
16000000,1800,Sector 6 Dwarka,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8888.888888888889,0.0,0.0016666666666666668
15500000,1700,Sector 4 Dwarka,3,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,9117.64705882353,0.07142857142857142,0.0017647058823529412
16000000,1800,Other,3,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,8888.888888888889,0.07142857142857142,0.0016666666666666668
24000000,2000,Other,4,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,12000.0,0.07142857142857142,0.002
18000000,1900,Other,4,1,0,0,0,0,0,1,1,1,0,0,0,0,1,4,9473.684210526315,0.2857142857142857,0.002105263157894737
16000000,1800,Sector 6 Dwarka,3,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,8888.888888888889,0.07142857142857142,0.0016666666666666668
15500000,1700,Other,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,7,9117.64705882353,0.5,0.0017647058823529412
18000000,1900,Other,4,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,9473.684210526315,0.07142857142857142,0.002105263157894737
17000000,1800,Other,3,1,0,0,1,0,1,1,1,1,1,0,0,1,1,6,9444.444444444445,0.42857142857142855,0.0016666666666666668
19500000,1900,Other,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10263.157894736842,0.0,0.002105263157894737
16500000,1800,Other,3,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,9166.666666666666,0.07142857142857142,0.0016666666666666668
15500000,1800,Sector 12 Dwarka,3,1,0,0,1,1,1,1,1,1,1,0,0,1,1,8,8611.111111111111,0.5714285714285714,0.0016666666666666668
17500000,1800,Sector 12 Dwarka,3,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,9722.222222222223,0.0,0.0016666666666666668
4700000,820,Dwarka Mor,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5731.707317073171,0.0,0.003658536585365854
2700000,625,Dwarka Mor,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4320.0,0.0,0.0032
2400000,525,Dwarka Mor,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4571.428571428572,0.0,0.0038095238095238095
3500000,750,Dwarka Mor,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4666.666666666667,0.0,0.0026666666666666666
4200000,850,Dwarka Mor,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4941.176470588235,0.0,0.0035294117647058825
16500000,1700,Sector 22 Dwarka,3,1,1,0,1,1,1,1,1,1,1,0,0,1,1,3,9705.882352941177,0.21428571428571427,0.0017647058823529412
16800000,1900,Sector 6 Dwarka,4,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,8842.105263157895,0.07142857142857142,0.002105263157894737
13799999,1700,Other,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8117.646470588235,0.0,0.0017647058823529412
13000000,1700,Other,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7647.058823529412,0.0,0.0017647058823529412
13000000,1700,Other,3,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,7647.058823529412,0.07142857142857142,0.0017647058823529412
10500000,1400,Other,2,1,0,0,1,0,1,1,1,1,1,0,0,1,1,6,7500.0,0.42857142857142855,0.0014285714285714286
19000000,1900,Other,4,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,10000.0,0.07142857142857142,0.002105263157894737
13000000,1700,Sector 4 Dwarka,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7647.058823529412,0.0,0.0017647058823529412
13000000,1700,Sector 4 Dwarka,3,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,7647.058823529412,0.07142857142857142,0.0017647058823529412
18000000,1900,Other,4,1,0,0,1,0,0,1,1,1,1,0,0,1,1,4,9473.684210526315,0.2857142857142857,0.002105263157894737
19000000,1900,Other,4,1,1,1,1,0,1,1,1,1,1,0,0,1,1,7,10000.0,0.5,0.002105263157894737
19500000,1900,Other,4,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,10263.157894736842,0.07142857142857142,0.002105263157894737
18500000,1800,Other,3,1,0,0,0,0,1,1,1,1,0,0,0,0,1,5,10277.777777777777,0.35714285714285715,0.0016666666666666668
14500000,1800,Other,3,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,8055.555555555556,0.07142857142857142,0.0016666666666666668
14500000,1800,Other,3,1,1,0,0,0,0,1,1,1,0,0,0,1,0,2,8055.555555555556,0.14285714285714285,0.0016666666666666668
14500000,1800,Other,3,1,1,0,1,0,0,1,1,1,1,0,0,1,1,3,8055.555555555556,0.21428571428571427,0.0016666666666666668
15800000,1800,Other,3,1,0,0,1,0,1,1,1,0,1,0,0,1,1,4,8777.777777777777,0.2857142857142857,0.0016666666666666668
14500000,1800,Other,3,1,0,0,1,0,0,1,1,0,1,0,0,1,1,2,8055.555555555556,0.14285714285714285,0.0016666666666666668
19000000,2000,Other,3,1,1,0,1,0,0,0,1,0,1,0,0,1,1,3,9500.0,0.21428571428571427,0.0015
17000000,1900,Sector 10 Dwarka,3,1,0,0,1,0,1,1,1,1,0,0,0,1,1,6,8947.368421052632,0.42857142857142855,0.0015789473684210526
13799999,1700,Other,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8117.646470588235,0.0,0.0017647058823529412
15800000,1700,Other,3,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,9294.117647058823,0.07142857142857142,0.0017647058823529412
10000000,1100,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9090.90909090909,0.0,0.0018181818181818182
14500000,1700,Sector 6 Dwarka,3,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,8529.411764705883,0.0,0.0017647058823529412
14500000,1700,Sector 6 Dwarka,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8529.411764705883,0.0,0.0017647058823529412
15500000,1600,Sector 10 Dwarka,3,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,9687.5,0.0,0.001875
15500000,1600,Sector 10 Dwarka,3,1,0,0,1,1,1,1,1,1,1,0,0,1,1,9,9687.5,0.6428571428571429,0.001875
